longitude,latitude,type,name,abbrev,location,gps_code
77.038893772262,11.0301415125983,mid,Coimbatore,CJB,terminal,VOCB
23.6869812680486,46.7826626340243,mid,Someseni,CLJ,ramp,LRCL
-77.8451039935167,21.4247037281961,mid,Ignacio Agramonte,CMW,terminal,MUCM
-106.464444809692,42.8971900483006,major,Casper/Natrona County Int'l,CPR,terminal,KCPR
120.550770223914,15.1876422423888,major,Clark Int'l,CRK,ramp,RPLC
-81.5964164667526,38.3705914372865,major and military,Yeager,CRW,terminal,KCRW
15.0674605007053,37.470072800341,major,Catania Fontanarossa,CTA,terminal,LICC
-88.3242600415365,18.506434233376,mid,Chetumal Int'l,CTM,terminal,MMCM
-3.33956876429118,51.3986220911017,major,Cardiff,CWL,terminal,EGFF
-79.879461638003,19.6898653962844,mid,Gerrard Smith,CYB,terminal,MWCB
-86.9304064070436,20.5115543771647,mid,Cozumel Int'l,CZM,terminal,MMCZ
-84.2204594238102,39.8990402865362,major,James M. Cox Dayton Int'l,DAY,terminal,KDAY
148.569717,-32.218681,mid,Dubbo,DBO,approximate,YSDU
-77.0433373925631,38.8537162012123,major,Washington Nat'l,DCA,terminal,KDCA
-104.533846024964,24.1261948326182,mid,Durango Int'l,DGO,terminal,MMDO
35.0939060224975,48.3675718021117,mid,Voloskoye,DNK,terminal,UKDD
37.7448085572103,48.0691671285582,major,Donetsk,DOK,terminal,UKCC
-56.4992636213744,-33.3591084475501,mid,Santa Bernardina Int'l,DZO,runway,SUDU
-3.36428468513555,55.9485540113639,major,Edinburgh Int'l,EDI,terminal,EGPH
-64.5371514365794,18.4443618557983,mid,Terrance B. Lettsome Int'l,EIS,terminal,TUPJ
-115.786479232249,40.8276058815225,mid,Elko Reg.,EKO,terminal,KEKO
-116.595724400418,31.7977139760569,mid,Ensenada,ESE,ramp,MMES
-7.2708,62.0625,mid,Vágar,FAE,approximate,EKVG
-96.8254561269675,46.9198178811323,mid and military,Hector Int'l,FAR,terminal,KFAR
-119.720001323576,36.7698128373959,mid,Fresno Yosemite Int'l,FAT,terminal,KFAT
-111.674656171675,35.1389116757976,mid,Flagstaff Pulliam,FLG,terminal,KFLG
-89.8778404226508,16.9149741642226,mid,Mundo Maya Int'l,FRS,terminal,MGTK
-96.7313831017541,43.5801934972763,mid,Sioux Falls Reg.,FSD,terminal,KFSD
-117.536836628585,47.6254781278368,major,Spokane Int'l,GEG,terminal,KGEG
-75.872613085304,23.5638829069259,mid,Exuma Int'l,GGT,terminal,MYEF
-5.34677180033388,36.1512747504173,mid,Gibraltar,GIB,runway,LXGB
-85.529573207274,42.8847776020908,mid,Gerald R. Ford Int'l,GRR,terminal,KGRR
-79.9364867577484,36.1053781998932,major,Triad Int'l,GSO,terminal,KGSO
